Building_ID,Address,Building_Type,Build_Year,Zip,State,City,Community_Name,Community_Number,Latitude,Longitude,Location
158958,7531 S Stony Island Ave,Commercial,1921-03-01,60649.0,VA,Campbellton,SOUTH SHORE,43.0,41.75764,-87.585175,"(41.75763999, -87.585176)"
159002,1000 E 111th St,Commercial,1925-03-01,60628.0,IL,Big Foot Prairie,PULLMAN,4.0,41.694427,-87.59918,"(41.69442889, -87.5991852)"
159100,1111 N. Dearborn St,Residential,2012-03-01,60610.0,VA,Moorland,NEAR NORTH SIDE,8.0,41.90216,-87.629456,"(41.90216178, -87.62945783)"
159156,1 E Delaware Pl,Residential,2014-03-01,60611.0,VA,Sale Creek,NEAR NORTH SIDE,8.0,41.86412,-87.639885,"(41.89877964, -87.6278525)"
159187,727 E 60TH ST,Residential,1970-03-01,60637.0,IL,Snake Creek,LAKE VIEW,6.0,41.785553,-87.607445,"(41.78555297, -87.60744454)"
159247,1633 W Madison St,Municipal,1958-03-01,60612.0,IL,Churchs Ferry,NEAR WEST SIDE,28.0,41.880684,-87.66808,"(41.88068367, -87.66808143)"
159249,303 W Division St,Residential,1914-03-01,60610.0,VA,Northgate,NEAR NORTH SIDE,8.0,41.869255,-87.62625,"(41.9037037, -87.63678593)"
159250,2045 W Jackson Blvd,Residential,1996-03-01,60612.0,IL,Cambridge,NEAR WEST SIDE,28.0,41.883194,-87.628685,"(41.87719859, -87.6783517)"
159276,6201 S Emerald Dr,Commercial,2017-03-01,60621.0,FL,Goodland,ENGLEWOOD,32.0,41.770348,-87.64317,"(41.770346, -87.643171)"
159287,901 903 S Ashland Ave,Residential,1957-03-01,60607.0,IL,Rockbridge,NEAR WEST SIDE,28.0,41.869766,-87.666016,"(41.86976757, -87.66601375)"
159298,1911 S Indiana Ave,Commercial,2012-03-01,60616.0,IL,Moorland,NEAR SOUTH SIDE,33.0,41.856354,-87.621864,"(41.85635481, -87.62186424)"
159302,6640 50 W Belden Ave,Residential,1900-03-01,60707.0,VA,Ebony,MONTCLARE,18.0,41.94929,-87.64692,"(41.92089131, -87.79110941)"
159311,1212 S Michigan Ave,Residential,1957-03-01,60605.0,IL,Whitmore Village,NEAR SOUTH SIDE,33.0,41.866882,-87.62464,"(41.86688247, -87.62463952)"
159312,2101 S Michigan Ave,Residential,1925-03-01,60616.0,IL,Big Foot Prairie,NEAR SOUTH SIDE,1.0,41.853767,-87.62338,"(41.85376667, -87.62338606)"
159315,1401 S State St,Residential,1957-03-01,60605.0,IL,Whitmore Village,NEAR SOUTH SIDE,33.0,41.86368,-87.626915,"(41.86368261, -87.6269152)"
159323,4250 S Princeton Ave,Municipal,1957-03-01,60609.0,OK,Whitmore Village,FULLER PARK,37.0,41.816742,-87.634705,"(41.8167422, -87.63470433)"
159411,1130 S Michigan Ave,Residential,1914-03-01,60605.0,IL,Northgate,LOOP,32.0,41.889732,-87.63612,"(41.86850103, -87.62470375)"
159418,3001 S King Dr,Residential,1957-03-01,60616.0,IL,Rockbridge,DOUGLAS,35.0,41.839203,-87.616615,"(41.83920388, -87.61661637)"
159524,175 N Harbor Dr,Residential,1921-03-01,60601.0,VA,Campbellton,LOOP,32.0,41.885445,-87.61546,"(41.88544613, -87.61546169)"
159528,353 N Des Plaines St,Residential,1907-03-01,60661.0,KY,Mingo,NEAR WEST SIDE,28.0,41.972683,-87.65495,"(41.88838308, -87.64399483)"
159529,700 N Michigan Ave,Commercial,1900-03-01,60611.0,VA,Ebony,NEAR NORTH SIDE,8.0,41.885853,-87.77478,"(41.89533925, -87.62493853)"
159534,420 E Ohio St,Residential,1954-03-01,60611.0,VA,Leesburg,NEAR NORTH SIDE,8.0,41.892857,-87.61664,"(41.8928582, -87.61664044)"
159560,1730 N Clark St,Residential,1917-03-01,60614.0,VA,Manchester,LINCOLN PARK,7.0,41.77613,-87.640686,"(41.91378263, -87.63384039)"
159561,2555 N Clark St,Residential,1914-03-01,60614.0,VA,Northgate,LINCOLN PARK,7.0,41.883114,-87.64488,"(41.92966894, -87.64225513)"
159564,65 E SCOTT ST,Residential,1936-03-01,60610.0,VA,Russell,NEAR NORTH SIDE,8.0,41.904446,-87.62619,"(41.90444748, -87.62618786)"
159565,1501 N STATE PKWY,Residential,1949-03-01,60610.0,VA,McKeansburg,NEAR NORTH SIDE,8.0,41.92385,-87.63654,"(41.90977128, -87.62842476)"
159567,2623 2627 N CLARK ST,Residential,1969-03-01,60614.0,VA,Crisman,LINCOLN PARK,71.0,41.930603,-87.642876,"(41.93060346, -87.64287601)"
159571,2144 N Lincoln Park West,Residential,1996-03-01,60614.0,VA,Cambridge,LINCOLN PARK,7.0,41.8955,-87.63264,"(41.92130396, -87.6364506)"
159573,401 411 W FULLERTON PKWY,Residential,2014-03-01,60614.0,VA,Sale Creek,LINCOLN PARK,7.0,41.789566,-87.58709,"(41.92527418, -87.63936489)"
159575,2150 N LINCOLN PARK,Residential,1966-03-01,60614.0,VA,Northchase,Near North Side,8.0,41.921738,-87.636826,"(41.92173911, -87.63682868)"
159637,3450 N Lake Shore Dr,Residential,1936-03-01,60657.0,MN,Russell,LAKE VIEW,6.0,41.945133,-87.64221,"(41.94513227, -87.64221298)"
159639,2960 N Lake Shore Dr,Residential,1957-03-01,60657.0,MN,Rockbridge,LAKE VIEW,6.0,41.935963,-87.63737,"(41.93596163, -87.63736893)"
159647,2933 N Sheridan Rd,Residential,2014-03-01,60657.0,MN,Sale Creek,LAKE VIEW,6.0,41.782066,-87.67221,"(41.93522966, -87.63890549)"
159651,352 360 W WELLINGTON AVE,Residential,1921-03-01,60657.0,MN,Campbellton,LAKE VIEW,6.0,41.93692,-87.63911,"(41.93692151, -87.63910514)"
159652,3500 N Lake Shore Dr,Residential,1957-03-01,60657.0,MN,Rockbridge,LAKE VIEW,6.0,41.946983,-87.64247,"(41.94698509, -87.6424712)"
159655,3000 N SHERIDAN RD,Residential,1900-03-01,60657.0,MN,Ebony,LAKE VIEW,6.0,41.885853,-87.77478,"(41.9367866, -87.63982583)"
159661,3101-3121 N Sheridan Rd,Residential,1996-03-01,60657.0,MN,Cambridge,LAKE VIEW,6.0,41.792213,-87.59995,"(41.93780449, -87.63932786)"
159729,820 W Belle Plaine Ave,Residential,1900-03-01,60613.0,VA,Ebony,UPTOWN,3.0,41.759693,-87.67628,"(41.95769327, -87.65076414)"
159735,4601 4613 N SHERIDAN RD,Residential,1914-03-01,60640.0,IL,Northgate,UPTOWN,3.0,41.87373,-87.62548,"(41.96573115, -87.65423709)"
159736,4848 N Winthrop Ave,Residential,1957-03-01,60640.0,IL,Whitmore Village,UPTOWN,3.0,41.97071,-87.657974,"(41.97071156, -87.65797598)"
159738,4100 N Marine Dr,Residential,1969-03-01,60613.0,VA,Crisman,UPTOWN,11.0,41.955887,-87.64627,"(41.95588646, -87.64627434)"
159739,4645 N Sherdian Rd,Municipal,1969-03-01,60640.0,IL,Crisman,UPTOWN,8.0,41.966652,-87.65417,"(41.96665021, -87.65416917)"
159745,4500 N CLARENDON AVE,Residential,1954-03-01,60640.0,IL,Leesburg,UPTOWN,3.0,41.96394,-87.65039,"(41.96394063, -87.65039391)"
159807,5650 N SHERIDAN RD,Residential,1970-03-01,60660.0,IL,Snake Creek,,,41.98449,-87.65573,"(41.98449002, -87.65573421)"
159892,5530 S SHORE DR,Residential,1917-03-01,60637.0,IL,Manchester,HYDE PARK,41.0,41.871033,-87.73349,"(41.794687, -87.58046479)"
